add-yield-none,12,80,1920,59335424,30903,0
add-yield-none,12,100,2400,66166528,27569,2
add-yield-none,12,250,6000,68180224,11363,0
add-yield-none,12,500,12000,79622912,6635,478
add-yield-none,12,750,18000,63244800,3513,389
add-yield-none,12,1000,24000,121357824,5056,1681
add-yield-none,12,4000,96000,136458240,1421,-2510
add-yield-none,12,6000,144000,394581248,2740,201
add-yield-none,12,10000,240000,225341440,938,-5411
add-yield-none,12,50000,1200000,1214255616,1011,-25276
add-yield-none,12,100000,2400000,1655287552,689,-70667
add-yield-m,1,10000,20000,71774976,3588,0
add-yield-m,2,10000,40000,924133120,23103,0
add-yield-m,4,10000,80000,1354245888,16928,0
add-yield-m,8,10000,160000,3263736320,20398,0
add-yield-m,12,10000,240000,4524307712,18851,0
add-yield-s,1,1000,2000,54763520,27381,0
add-yield-s,2,1000,4000,179743744,44935,0
add-yield-s,4,1000,8000,996680704,124585,0
add-yield-s,8,1000,16000,4603172352,287698,0
add-yield-s,12,1000,24000,9735549184,405647,0
add-yield-c,1,10000,20000,184797696,9239,0
add-yield-c,2,10000,40000,294807552,7370,0
add-yield-c,4,10000,80000,281760768,3522,0
add-yield-c,8,10000,160000,400030208,2500,0
add-yield-c,12,10000,240000,858382080,3576,0
add-yield-c,1,10000,20000,154426112,7721,0
add-yield-c,2,10000,40000,257864704,6446,0
add-yield-c,4,10000,80000,439610624,5495,0
add-yield-c,8,10000,160000,697784576,4361,0
add-yield-c,12,10000,240000,872701184,3636,0
add-yield-c,1,10000,20000,161222400,8061,0
add-yield-c,2,10000,40000,172334080,4308,0
add-yield-c,4,10000,80000,270992896,3387,0
add-yield-c,8,10000,160000,631231232,3945,0
add-yield-c,12,10000,240000,870588160,3627,0
add-m,1,10000,20000,13946112,697,0
add-m,1,100000,200000,287918080,1439,0
add-m,2,10000,40000,69219328,1730,0
add-m,2,100000,400000,723122176,1807,0
add-m,4,10000,80000,146734080,1834,0
add-m,4,100000,800000,1113044992,1391,0
add-m,8,10000,160000,267118848,1669,0
add-m,8,100000,1600000,1506258432,941,0
add-m,12,10000,240000,397371392,1655,0
add-m,12,100000,2400000,641797120,267,0
add-s,1,10000,20000,16710144,835,0
add-s,1,100000,200000,179954688,899,0
add-s,2,10000,40000,18929920,473,0
add-s,2,100000,400000,222414080,556,0
add-s,4,10000,80000,41506048,518,0
add-s,4,100000,800000,233890816,292,0
add-s,8,10000,160000,72862208,455,0
add-s,8,100000,1600000,477634304,298,0
add-s,12,10000,240000,86034432,358,0
add-s,12,100000,2400000,623209216,259,0
add-c,1,10000,20000,14982400,749,0
add-c,1,100000,200000,130882560,654,0
add-c,2,10000,40000,14748672,368,0
add-c,2,100000,400000,130633472,326,0
add-c,4,10000,80000,51889664,648,0
add-c,4,100000,800000,263964160,329,0
add-c,8,10000,160000,66840576,417,0
add-c,8,100000,1600000,526877696,329,0
add-c,12,10000,240000,103287552,430,0
add-c,12,100000,2400000,680023296,283,0
