list-d-m,4,16,1,192,79749120,415360
list-d-m,4,32,1,384,62170368,161902
list-d-m,8,1,1,24,75259648,3135818
list-d-m,8,2,1,48,42723328,890069
list-d-m,8,4,1,96,20716544,215797
list-d-m,8,8,1,192,20764672,108149
list-d-m,8,16,1,384,7979264,20779
list-d-m,8,32,1,768,58439168,76092
list-d-m,12,1,1,36,44624128,1239559
list-d-m,12,2,1,72,67525888,937859
list-d-m,12,4,1,144,101957120,708035
list-d-m,12,8,1,288,111490304,387119
list-d-m,12,16,1,576,41708032,72409
list-d-m,12,32,1,1152,81092864,70393
list-il-m,2,1,1,6,25824256,4304042
list-il-m,2,2,1,12,11165184,930432
list-il-m,2,4,1,24,529152,22048
list-il-m,2,8,1,48,25991168,541482
list-il-m,2,16,1,96,599040,6240
list-il-m,2,32,1,192,28621824,149072
list-il-m,4,1,1,12,24675072,2056256
list-il-m,4,2,1,24,30790912,1282954
list-il-m,4,4,1,48,3969792,82704
list-il-m,4,8,1,96,33741312,351472
list-il-m,4,16,1,192,32615168,169870
list-il-m,4,32,1,384,27031296,70394
list-il-m,8,1,1,24,83215872,3467328
list-il-m,8,2,1,48,99782656,2078805
list-il-m,8,4,1,96,133784320,1393586
list-il-m,8,8,1,192,67875584,353518
list-il-m,8,16,1,384,29902848,77872
list-il-m,8,32,1,768,98219008,127889
list-il-m,12,1,1,36,94455808,2623772
list-il-m,12,2,1,72,119150336,1654865
list-il-m,12,4,1,144,151161856,1049735
list-il-m,12,8,1,288,41824512,145224
list-il-m,12,16,1,576,54422272,94483
list-il-m,12,32,1,1152,91924992,79796
list-dl-m,2,1,1,6,57272320,9545386
list-dl-m,2,2,1,12,33040896,2753408
list-dl-m,2,4,1,24,43862016,1827584
list-dl-m,2,8,1,48,28192000,587333
list-dl-m,2,16,1,96,15616768,162674
list-dl-m,2,32,1,192,43615744,227165
list-dl-m,4,1,1,12,60193024,5016085
list-dl-m,4,2,1,24,47236352,1968181
list-dl-m,4,4,1,48,84206080,1754293
list-dl-m,4,8,1,96,46188032,481125
